marital,education,default,housing,loan
married,tertiary,no,yes,no
single,secondary,no,yes,no
married,secondary,no,yes,yes
married,unknown,no,yes,no
single,unknown,no,no,no
married,tertiary,no,yes,no
single,tertiary,no,yes,yes
divorced,tertiary,yes,yes,no
married,primary,no,yes,no
single,secondary,no,yes,no
divorced,secondary,no,yes,no
single,secondary,no,yes,no
married,secondary,no,yes,no
married,unknown,no,yes,no
married,secondary,no,yes,no
married,primary,no,yes,no
single,unknown,no,yes,no
married,primary,no,yes,no
married,primary,no,yes,no
married,secondary,no,yes,no
married,secondary,no,yes,yes
married,tertiary,no,yes,no
single,primary,no,yes,yes
married,secondary,no,yes,no
married,primary,no,yes,yes
married,secondary,no,yes,no
single,tertiary,no,yes,no
married,secondary,no,yes,yes
single,secondary,no,yes,no
single,secondary,no,yes,yes
married,secondary,no,no,yes
married,tertiary,no,yes,no
married,secondary,no,yes,yes
married,secondary,no,yes,no
married,tertiary,no,yes,no
divorced,secondary,no,yes,no
married,secondary,no,yes,no
married,secondary,no,no,no
divorced,secondary,no,yes,no
single,secondary,no,yes,no
divorced,secondary,no,yes,no
married,secondary,no,yes,no
married,unknown,no,yes,no
married,secondary,no,yes,no
married,unknown,no,yes,no
single,primary,no,yes,no
married,tertiary,no,yes,no
married,secondary,no,yes,no
divorced,secondary,no,no,no
single,tertiary,no,yes,no
married,secondary,no,yes,no
divorced,tertiary,no,yes,no
married,tertiary,no,yes,no
single,secondary,no,yes,no
single,secondary,no,yes,yes
single,tertiary,no,no,yes
single,tertiary,no,yes,no
married,unknown,no,yes,no
single,unknown,no,yes,no
married,primary,no,yes,no
married,tertiary,no,yes,no
divorced,secondary,no,yes,no
married,primary,no,yes,no
married,secondary,no,yes,no
married,unknown,no,yes,no
married,tertiary,no,yes,no
married,tertiary,no,no,no
divorced,tertiary,no,yes,no
married,secondary,no,yes,no
single,secondary,no,yes,yes
married,secondary,no,yes,yes
married,secondary,no,yes,yes
married,secondary,no,yes,yes
married,primary,no,yes,no
married,secondary,no,yes,no
married,secondary,no,yes,no
married,secondary,no,no,yes
divorced,secondary,no,no,no
divorced,secondary,no,yes,yes
divorced,secondary,yes,yes,no
single,secondary,no,yes,no
divorced,secondary,no,no,no
single,secondary,no,yes,no
married,secondary,no,yes,no
married,tertiary,no,yes,yes
married,primary,no,yes,no
married,secondary,no,no,no
married,secondary,no,yes,no
divorced,secondary,no,yes,yes
married,secondary,no,yes,no
single,secondary,no,no,no
married,secondary,no,yes,yes
married,secondary,no,yes,no
married,unknown,no,yes,no
divorced,secondary,no,no,no
married,tertiary,no,yes,yes
married,secondary,no,no,no
married,tertiary,no,yes,no
married,secondary,no,yes,no
married,tertiary,no,yes,no
married,secondary,no,yes,no
married,primary,no,no,no
married,primary,no,yes,no
married,primary,no,yes,no
single,tertiary,no,yes,no
married,secondary,no,yes,no
married,tertiary,no,yes,no
married,secondary,no,no,yes
single,secondary,no,yes,no
married,tertiary,no,yes,no
divorced,secondary,no,yes,no
divorced,secondary,no,no,no
married,primary,no,yes,yes
married,primary,no,yes,no
divorced,primary,no,yes,no
married,secondary,no,yes,no
married,secondary,no,yes,no
single,tertiary,no,yes,no
divorced,tertiary,no,no,no
married,primary,no,no,no
divorced,unknown,no,yes,no
married,secondary,no,yes,no
married,unknown,no,yes,no
married,secondary,no,yes,yes
married,tertiary,no,no,yes
single,secondary,no,yes,no
single,secondary,no,yes,yes
married,secondary,no,yes,yes
married,secondary,no,yes,no
married,secondary,no,yes,no
married,unknown,no,no,no
single,secondary,no,yes,no
single,secondary,no,yes,no
single,secondary,no,yes,yes
single,tertiary,no,yes,no
married,secondary,no,yes,no
single,secondary,no,yes,no
single,unknown,no,no,no
married,secondary,no,yes,no
married,secondary,no,yes,no
divorced,primary,no,yes,no
single,secondary,no,yes,no
married,tertiary,no,no,no
married,secondary,no,yes,no
married,secondary,no,yes,no
married,secondary,no,yes,no
divorced,primary,no,yes,no
married,secondary,no,yes,no
married,primary,no,yes,no
married,primary,no,yes,no
married,unknown,no,yes,no
single,secondary,no,yes,no
married,tertiary,no,yes,no
married,secondary,no,yes,no
married,primary,no,no,no
married,secondary,no,yes,no
married,unknown,no,yes,no
divorced,secondary,no,yes,no
married,secondary,no,yes,no
married,secondary,no,yes,no
married,unknown,no,yes,no
single,tertiary,no,yes,no
single,secondary,no,yes,no
married,secondary,no,yes,no
married,secondary,no,yes,no
single,secondary,no,yes,no
married,tertiary,no,yes,no
married,secondary,no,yes,no
married,tertiary,no,no,no
married,primary,no,no,no
married,secondary,no,yes,no
married,secondary,no,yes,yes
married,unknown,no,yes,no
single,primary,no,no,no
divorced,secondary,no,yes,no
divorced,secondary,no,yes,no
married,secondary,no,yes,no
married,secondary,no,yes,no
married,secondary,no,yes,no
married,secondary,no,yes,no
married,tertiary,no,yes,no
divorced,secondary,no,yes,no
married,secondary,no,yes,no
married,secondary,no,yes,no
married,tertiary,no,yes,no
married,primary,no,yes,no
divorced,unknown,no,yes,no
married,secondary,no,no,no
single,secondary,no,yes,yes
single,tertiary,no,yes,no
married,secondary,no,yes,no
married,tertiary,no,yes,no
married,tertiary,no,yes,no
married,secondary,no,yes,no
married,secondary,no,yes,no
single,secondary,no,yes,no
married,secondary,no,yes,no
divorced,tertiary,no,no,yes
married,tertiary,no,yes,no
divorced,primary,no,yes,no
married,secondary,no,yes,no
married,tertiary,no,yes,no
married,secondary,no,yes,no
single,unknown,no,yes,no
married,secondary,no,yes,no
married,secondary,no,yes,no
married,tertiary,no,yes,yes
married,tertiary,no,yes,no
single,unknown,no,yes,no
married,secondary,no,yes,no
married,secondary,no,yes,no
married,secondary,no,yes,no
divorced,primary,no,no,no
married,secondary,no,yes,no
married,primary,no,yes,no
married,tertiary,no,yes,no
married,unknown,no,no,no
married,unknown,no,no,no
married,primary,no,no,no
married,tertiary,no,yes,yes
married,secondary,no,yes,no
married,primary,no,yes,no
divorced,secondary,no,yes,no
married,secondary,no,no,yes
divorced,unknown,no,yes,no
married,primary,no,yes,no
married,unknown,no,yes,no
single,tertiary,no,yes,no
married,unknown,no,no,no
divorced,secondary,no,yes,no
married,primary,no,yes,no
married,secondary,no,yes,no
married,secondary,no,yes,no
married,unknown,no,no,no
married,primary,no,yes,no
married,primary,no,yes,no
divorced,secondary,no,yes,no
married,primary,no,yes,no
divorced,secondary,no,yes,no
divorced,primary,no,yes,yes
married,secondary,no,yes,yes
married,unknown,no,yes,no
married,secondary,no,no,no
married,secondary,no,yes,no
married,tertiary,no,yes,no
married,unknown,no,no,no
single,secondary,no,yes,no
married,tertiary,no,yes,no
married,secondary,no,yes,no
